attack	d_char	d_token_sqli	d_token_xss	d_token_ci	punck	s_token	space	length	output
'|echo%20nuzdzt$((76%2b71))$(echo%20nuzdzt)nuzdzt|	M	L	L	L	M	M	L	M	
'||echo%20lapjjf$((87%2b11))$(echo%20lapjjf)lapjjf|	M	L	L	L	M	M	L	M	
'&&echo%20twkyhe$((0%2b57))$(echo%20twkyhe)twkyhe|	M	L	L	L	M	M	L	M	
'%0aecho%20maoxem$((48%2b53))$(echo%20maoxem)maoxem|	M	L	L	L	M	M	L	M	
'%3becho%20qgksly$((79%2b94))$(echo%20qgksly)qgksly|	M	L	L	L	M	M	L	M	
'%26echo%20ucanna$((30%2b68))$(echo%20ucanna)ucanna|	M	L	L	L	M	M	L	M	
'%26%26echo%20zwvyhu$((11%2b21))$(echo%20zwvyhu)zwvyhu|	H	L	L	L	M	M	L	M	
'%7cecho%20dpujil$((23%2b45))$(echo%20dpujil)dpujil|	M	L	L	L	M	M	L	M	
'%7c%7cecho%20bhfqiy$((13%2b3))$(echo%20bhfqiy)bhfqiy|	H	L	L	L	M	M	L	M	
'echo%20zkezhz$((79%2b67))$(echo%20zkezhz)zkezhz%27	M	L	L	L	M	M	L	M	
